Nama Produk,Harga,Toko,Platform,Rating,Jumlah Terjual,Lokasi Toko,Link Produk,Diskon/Promo
Pond's Bright Beauty Triple Glow Serum,89.818,Pond's Shop,Shopee,4.8,7358,Blitar,https://shopee.co.id/product/357715/379328651,Gratis Ongkir
Emina Bright Stuff Face Serum,257965,Emina Flagship,Shopee,5,2734,Banjarmasin,https://shopee.co.id/product/247819/447701442,Diskon 20%
Scarlett Whitening Acne Serum,218434,Scarlett Center,Shopee,4.7,214,Solo,https://shopee.co.id/product/125520/711057571,Diskon 7%
Somethinc Niacinamide Moisture Sabi Beet Serum,"184,327",Somethinc Shop,Tokopedia,4.8,1850,Depok,https://tokopedia.com/beauty/product-596588-42958609,buy1 get1
Erha Acneact Serum,86707,Erha Center,Tokopedia,4.9,850,Bandung,https://tokopedia.com/beauty/product-668279-911043646,
Pond's Bright Beauty Triple Glow Serum,"212,516",Pond's Shop,Shopee,4.6,395,Pekanbaru,https://shopee.co.id/product/405697/679495227,Diskon 12%
NPURE Cica Beat The Sun SPF 50,191953,NPURE Official,Shopee,4.6,3987,Kendal,https://shopee.co.id/product/722460/390551490,
MS Glow Whitening Night Cream,Rp165.014,MS Glow Shop,Shopee,"5,0",3345,Samarinda,https://shopee.co.id/product/607126/456724489,
NPURE Cica Beat The Sun SPF 50,Rp186.002,NPURE Official,Shopee,4.7,2351,Kediri,https://shopee.co.id/product/751476/393267276,Diskon 12%
Skintific 5X Ceramide Barrier Repair Moisturizer,149449,Skintific Official,Tokopedia,4.8,7763,Solo,https://tokopedia.com/beauty/product-317461-975145902,Bonus Sample
Somethinc Niacinamide Moisture Sabi Beet Serum,261448,Somethinc Shop,Tokopedia,4.9,1828,Madiun,https://tokopedia.com/official/product-515131-747537699,Diskon 8%
Wardah Lightening Day Cream Advanced Niacinamide,269201,Wardah Official,Tokopedia,,1326,Samarinda,https://tokopedia.com/beauty/product-373181-851058648,Cashback 5%
Wardah Lightening Day Cream Advanced Niacinamide,2914168,Toko Wardah,Shopee,4.7,118,Balikpapan,https://tokopedia.com/official/product-668895-924368196,Diskon 8%
Azarine Hydramax C Sunscreen Serum,160774,Azarine Center,Tokopedia,4.6,869,Kediri,https://tokopedia.com/beauty/product-445729-891670113,Diskon 20%
Skintific 5X Ceramide Barrier Repair Moisturizer,109190,Skintific Center,Tokopedia,4.7,3442,Denpasar,https://tokopedia.com/official/product-952322-741465332,CASHBACK 5%
Lacoco Dark Spot Essence,197038,Lacoco Shop,Tokopedia,4.7,2326,Samarinda,https://tokopedia.com/official/product-959215-24244015,
Citra Pearl Fair UV Face Cream,282685,Citra Official Store,Shopee,4.8,659,Probolinggo,https://shopee.co.id/product/622174/624824613,Diskon 15%
Citra Pearl Fair UV Face Cream,253669,Citra Official Store,Tokopedia,4.9,4320,Palembang,https://tokopedia.com/beauty/product-372161-418974834,Diskon 10%
Olay Total Effects 7 in One Day Cream,215011,Olay Official Store,Tokopedia,4.7,2492,Kudus,https://tokopedia.com/shop/product-221293-389285421,Cashback 5%
Skintific 5X Ceramide Barrier Repair Moisturizer,256711,Skintific Official,Shopee,4.8,3583,Metro,https://shopee.co.id/product/263761/396818870,Cashback 5%
Olay Total Effects 7 in One Day Cream,Rp142.140,Olay Flagship,Tokopedia,5,3146,Pangkalan Bun,tokopedia.com/official/product-386747-639675831,
Avoskin Miraculous Refining Serum,,Avoskin Official Store,Shopee,4.7,4499,Palopo,https://shopee.co.id/product/285114/720575254,
Avoskin Miraculous Refining Serum,259048,Avoskin Beauty Store,Tokopedia,4.6,9617,Salatiga,https://tokopedia.com/official/product-925541-613008026,buy1 get1
Citra Pearl Fair UV Face Cream,Rp241.685,Toko Citra,Tokopedia,4.9,599,Magelang,https://tokopedia.com/beauty/product-463003-195995089,Diskon 10%
Somethinc Niacinamide Moisture Sabi Beet Serum,189656,Toko Somethinc,Tokopedia,4.8,1495,Bogor,https://tokopedia.com/official/product-263608-853703200,
Wardah Lightening Day Cream Advanced Niacinamide,107289,Toko Wardah,Shopee,4.9,1899,Parepare,https://shopee.co.id/product/631470/848175825,Cashback 5%
Pond's Bright Beauty Triple Glow Serum,224454,Pond's Shop,Tokopedia,4.9,3318,Medan,https://tokopedia.com/beauty/product-678773-16228841,
The Originote Bakuchiol Skin Barrier Serum,"65,165",The Originote Flagship,Tokopedia,"4,9",555,Palembang,https://tokopedia.com/official/product-905928-943305178,Diskon 10%
Scarlett Whitening Acne Serum,Rp273.446,Scarlett Flagship,Shopee,4.7,4100,Sidoarjo,https://shopee.co.id/product/932647/511919040,Diskon 20%
Scarlett Whitening Acne Serum,236552,Scarlett Shop,Tokopedia,4.9,891,Madiun,https://tokopedia.com/shop/product-501680-137427312,
Azarine Hydramax C Sunscreen Serum,266399,Azarine Official Store,Shopee,"4,9",1348,Ciamis,https://shopee.co.id/product/976898/255058091,DISKON 9%
MS Glow Whitening Night Cream,61594,MS Glow Beauty Store,Tokopedia,4.6,1495,Cilacap,https://tokopedia.com/beauty/product-987843-330120808,
The Originote Bakuchiol Skin Barrier Serum,103980,The Originote Shop,Tokopedia,4.7,997,Jakarta,https://tokopedia.com/beauty/product-487302-809749550,Cashback 5%
Whitelab Brightening Face Serum,,Whitelab Beauty Store,Tokopedia,4.6,1302,Yogyakarta,https://tokopedia.com/shop/product-276022-311568482,
Emina Bright Stuff Face Serum,299847,Emina Official Store,Tokopedia,4.6,1167,Sidoarjo,https://tokopedia.com/official/product-964355-334034429,Cashback 5%
Elsheskin Radiant Skin Serum,"84,893",Elsheskin Shop,Tokopedia,4.8,883,Jember,,Diskon 12%
Avoskin Miraculous Refining Serum,239.226,Avoskin Official Store,Tokopedia,4.9,4646,Denpasar,https://tokopedia.com/official/product-200183-148394823,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,86656,Hada Labo Official Store,Tokopedia,4.7,7554,Bogor,https://tokopedia.com/official/product-554443-715696034,buy1 get1
NPURE Cica Beat The Sun SPF 50,168982,NPURE Flagship,Tokopedia,4.8,1247,Parepare,https://tokopedia.com/official/product-975401-656423650,
Skintific 5X Ceramide Barrier Repair Moisturizer,Rp60.292,Skintific Center,Shopee,4.6,3858,Parepare,https://shopee.co.id/product/196056/255510454,
MS Glow Whitening Night Cream,Rp188.419,MS Glow Flagship,Tokopedia,4.8,1310,Pangkalan Bun,https://tokopedia.com/official/product-705304-267890835,
Lacoco Dark Spot Essence,275502,Lacoco Flagship,Shopee,4.7,7885,Samarinda,https://shopee.co.id/product/109065/97194139,Diskon 10%
Erha Acneact Serum,298022,Erha Official Store,Tokopedia,4.9,4408,Samarinda,https://tokopedia.com/beauty/product-743954-908818817,
Azarine Hydramax C Sunscreen Serum,122.45,Azarine Center,Tokopedia,4.8,9923,Parepare,https://tokopedia.com/beauty/product-190663-292759621,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,45822,Hada Labo Official Store,Shopee,4.8,4423,Pangkalan Bun,https://shopee.co.id/product/412962/935770332,Buy 1 Get 1
Lacoco Dark Spot Essence,Rp159.117,Lacoco Beauty Store,Tokopedia,4.8,79,Kendal,https://tokopedia.com/beauty/product-328752-317633059,
Garnier Bright Complete Serum,150307,Garnier Shop,Shopee,4.9,250,Banjarmasin,https://shopee.co.id/product/509638/603625940,buy1 get1
Somethinc Niacinamide Moisture Sabi Beet Serum,270676,Somethinc Flagship,Tokopedia,5,2235,Medan,,Diskon 8%
Avoskin Miraculous Refining Serum,264426,Avoskin Center,shopee,4.7,8274,Banyuwangi,https://shopee.co.id/product/425200/681357560,Voucher 20K
Citra Pearl Fair UV Face Cream,58276,Toko Citra,Tokopedia,5,1239,Bekasi,https://tokopedia.com/shop/product-462462-476365057,Diskon 8%
Avoskin Miraculous Refining Serum,213715,Avoskin Shop,Shopee,,214,Parepare,https://shopee.co.id/product/232552/715807619,
Olay Total Effects 7 in One Day Cream,,Olay Center,Shopee,4.7,4462,Batam,,Voucher 20K
Elsheskin Radiant Skin Serum,173.122,Elsheskin Flagship,Shopee,4.6,208,Salatiga,https://shopee.co.id/product/500812/220792604,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,,Some By Mi Beauty Store,Shopee,,75,Pasuruan,https://shopee.co.id/product/442313/858939122,buy1 get1
Citra Pearl Fair UV Face Cream,142084,Citra Flagship,Shopee,4.9,618,Tegal,https://shopee.co.id/product/691824/462724733,Diskon 15%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,,Hada Labo Center,Shopee,4.8,3968,Ciamis,https://shopee.co.id/product/212194/639784779,
Garnier Bright Complete Serum,272186,Garnier Center,Tokopedia,4.9,2324,Kudus,https://tokopedia.com/beauty/product-729185-526686156,Bonus Sample
NPURE Cica Beat The Sun SPF 50,276502,NPURE Official,Shopee,4.8,339,Samarinda,https://shopee.co.id/product/865456/514980412,Diskon 12%
MS Glow Whitening Night Cream,112783,MS Glow Official,Tokopedia,4.8,1394,Metro,https://tokopedia.com/beauty/product-512839-268535918,
Wardah Lightening Day Cream Advanced Niacinamide,119022,Wardah Center,Tokopedia,5,848,Banyuwangi,https://tokopedia.com/beauty/product-567996-960598050,voucher 20k
Skintific 5X Ceramide Barrier Repair Moisturizer,234146,Skintific Beauty Store,Tokopedia,,3964,Parepare,https://tokopedia.com/official/product-416441-190245883,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,249924,Toko Some By Mi,Tokopedia,4.7,9114,Jakarta,https://tokopedia.com/official/product-741151-880033004,Gratis Ongkir
Citra Pearl Fair UV Face Cream,141873,Citra Beauty Store,Shopee,4.7,327,Tangerang,https://shopee.co.id/product/935632/801250695,Cashback 5%
Erha Acneact Serum,288353,Erha Shop,Shopee,4.9,2070,Manado,https://shopee.co.id/product/898520/822459248,
MS Glow Whitening Night Cream,183.613,MS Glow Official Store,Shopee,4.9,614,Pontianak,https://shopee.co.id/product/532454/275419793,
Wardah Lightening Day Cream Advanced Niacinamide,147353,Wardah Official Store,Tokopedia,,141,Parepare,https://tokopedia.com/shop/product-667870-592119913,Buy 1 Get 1
Erha Acneact Serum,Rp185.920,Erha Center,Tokopedia,4.9,4479,Kudus,https://tokopedia.com/beauty/product-105720-790002466,Buy 1 Get 1
Skintific 5X Ceramide Barrier Repair Moisturizer,39656,Skintific Beauty Store,Shopee,4.8,1671,Tegal,https://shopee.co.id/product/152063/885886321,
Scarlett Whitening Acne Serum,241706,Scarlett Flagship,Tokopedia,5,77,Pangkalan Bun,https://tokopedia.com/beauty/product-492161-342846611,
MS Glow Whitening Night Cream,Rp240.438,MS Glow Shop,Shopee,,844,Karawang,https://shopee.co.id/product/825337/149753242,Diskon 8%
Azarine Hydramax C Sunscreen Serum,Rp89.924,Azarine Flagship,Shopee,4.7,308,Sidoarjo,https://shopee.co.id/product/392648/708411311,
Garnier Bright Complete Serum,4764940,Garnier Center,Tokopedia,4.7,469,Semarang,https://tokopedia.com/beauty/product-880698-885711020,Gratis Ongkir
Some By Mi AHA BHA PHA 30 Days Miracle Serum,169434,Some By Mi Official Store,Shopee,4.8,1318,Bandung,https://shopee.co.id/pr0duct/404484/637647024,
Emina Bright Stuff Face Serum,57519,Emina Official Store,Shopee,"4,9",1265,Palopo,https://shopee.co.id/product/689513/947979769,Diskon 10%
Erha Acneact Serum,223865,Erha Flagship,Tokopedia,5,391,Pangkalan Bun,https://tokopedia.com/beauty/product-794902-781496499,
Elsheskin Radiant Skin Serum,170826,Elsheskin Flagship,Tokopedia,5,1443,Magelang,https://tokopedia.com/beauty/product-253469-405305195,Diskon 7%
Citra Pearl Fair UV Face Cream,51332,Citra Flagship,Tokopedia,"4,6",3696,Surabaya,https://tokopedia.com/beauty/product-331472-75849539,buy1 get1
Citra Pearl Fair UV Face Cream,69934,Citra Official,Shopee,"4,8",3597,Tangerang,https://shopee.co.id/product/665077/197004728,BUY 1 GET 1
The Originote Bakuchiol Skin Barrier Serum,146754,The Originote Official,Tokopedia,4.7,4459,Samarinda,https://tokopedia.com/beauty/product-857710-850822062,Free Gift
Emina Bright Stuff Face Serum,267635,Emina Official Store,Shopee,4.7,776,Balikpapan,https://shopee.co.id/product/434335/64303379,
Pond's Bright Beauty Triple Glow Serum,29849,Pond's Official Store,Tokopedia,4.8,4112,Yogyakarta,https://tokopedia.com/beauty/product-454660-317366978,
Emina Bright Stuff Face Serum,,Emina Center,Tokopedia,4.8,2160,Palopo,tokopedia.com/official/product-393564-492229454,
Citra Pearl Fair UV Face Cream,,Citra Official,Tokopedia,4.8,3358,Semarang,https://tokopedia.com/official/product-123719-432108647,Diskon 9%
Somethinc Niacinamide Moisture Sabi Beet Serum,,Somethinc Center,Shopee,,1409,Cirebon,https://shopee.co.id/product/419405/257869306,
Skintific 5X Ceramide Barrier Repair Moisturizer,169543,Skintific Shop,Shopee,5,128,Pekanbaru,https://shopee.co.id/product/196500/535862066,
Scarlett Whitening Acne Serum,261699,Scarlett Flagship,Tokopedia,4.6,949,Probolinggo,https://tokopedia.com/official/product-913531-147872607,
NPURE Cica Beat The Sun SPF 50,44340,NPURE Official Store,Shopee,,2018,Jember,https://shopee.co.id/product/952090/140909525,
NPURE Cica Beat The Sun SPF 50,66726,Toko NPURE,Shopee,4.7,1142,Magelang,https://shopee.co.id/product/758461/584504243,Diskon 9%
Somethinc Niacinamide Moisture Sabi Beet Serum,52494,Somethinc Official Store,Shopee,4.6,8090,Surabaya,https://shopee.co.id/product/597644/114990070,VOUCHER 20K
Lacoco Dark Spot Essence,114833,Toko Lacoco,Tokopedia,4.7,9871,Pangkalan Bun,,Diskon 7%
Whitelab Brightening Face Serum,48046,Whitelab Center,Tokopedia,4.8,5810,Semarang,https://tokopedia.com/shop/pr0duct-113976-402921401,
Whitelab Brightening Face Serum,254928,Whitelab Center,Tokopedia,4.8,4716,Sidoarjo,,Voucher 20K
Somethinc Niacinamide Moisture Sabi Beet Serum,195814,Somethinc Center,Tokopedia,4.8,7577,Padang,https://tokopedia.com/official/product-869667-344541930,Bonus Sample
Hada Labo Gokujyun Ultimate Moisturizing Lotion,104983,Hada Labo Beauty Store,Shopee,"4,6",1450,Kudus,https://shopee.co.id/product/659287/491132737,Gratis Ongkir
Pond's Bright Beauty Triple Glow Serum,177416,Pond's Official,Tokopedia,4.9,6112,,https://tokopedia.com/beauty/product-281891-445247381,
Lacoco Dark Spot Essence,265592,Lacoco Official,Tokopedia,4.8,344,Pangkalan Bun,tokopedia.com/official/product-936405-828933573,Diskon 8%
Emina Bright Stuff Face Serum,219868,Emina Beauty Store,Shopee,4.9,4684,Gresik,https://shopee.co.id/product/482003/301079872,diskon 7%
Avoskin Miraculous Refining Serum,98399,Avoskin Shop,Shopee,4.7,1120,Pekanbaru,shopee.co.id/product/276600/675041536,Diskon 5%
Garnier Bright Complete Serum,106732,Garnier Flagship,Shopee,4.8,3462,Ciamis,https://shopee.co.id/product/752814/728576874,DISKON 9%
Garnier Bright Complete Serum,64080,Toko Garnier,Tokopedia,4.8,4864,Magelang,https://tokopedia.com/shop/product-844364-876853288,
Erha Acneact Serum,189301,Erha Official Store,Shopee,,1300,Parepare,https://tokopedia.com/official/product-706680-109549088,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,275196,Hada Labo Flagship,Shopee,4.7,3656,,https://shopee.co.id/product/103728/313665166,Bonus Sample
MS Glow Whitening Night Cream,294084,Toko MS Glow,Shopee,4.9,4495,Kendal,https://shopee.co.id/product/850226/544956347,
Olay Total Effects 7 in One Day Cream,"189,484",Olay Official,Shopee,,1469,Tangerang,https://shopee.co.id/product/293829/63674292,
MS Glow Whitening Night Cream,"151,420",MS Glow Official Store,Shopee,"4,7",7989,Kediri,https://shopee.co.id/product/696783/392571040,Diskon 8%
Skintific 5X Ceramide Barrier Repair Moisturizer,191827,Skintific Center,Shopee,4.7,276,Sukabumi,https://shopee.co.id/product/471944/939968985,
Garnier Bright Complete Serum,220088,Garnier Center,Tokopedia,4.8,1068,Balikpapan,https://tokopedia.com/shop/product-434922-862961828,
Lacoco Dark Spot Essence,209845,Lacoco Beauty Store,Tokopedia,4.7,8210,Ciamis,tokopedia.com/shop/product-310431-12978360,Bonus Sample
Scarlett Whitening Acne Serum,143283,Scarlett Official Store,Shopee,4.9,502,Palopo,https://shopee.co.id/product/903911/855115403,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,206320,Toko Some By Mi,Tokopedia,5,2745,Solo,https://tokopedia.com/official/product-882416-293386516,
Garnier Bright Complete Serum,274177,Garnier Center,Tokopedia,4.9,4717,Metro,https://tokopedia.com/beauty/product-902758-624884533,
Pond's Bright Beauty Triple Glow Serum,216939,Pond's Shop,Shopee,4.9,2672,Balikpapan,shopee.co.id/product/689214/394454400,Diskon 9%
Wardah Lightening Day Cream Advanced Niacinamide,57078,Wardah Beauty Store,Shopee,4.9,2703,Pangkalan Bun,https://shopee.co.id/product/242779/532317261,
Citra Pearl Fair UV Face Cream,130061,Citra Official,Tokopedia,4.9,1534,Jakrta,https://tokopedia.com/official/product-417176-235870611,Diskon 15%
The Originote Bakuchiol Skin Barrier Serum,148182,The Originote Center,Shopee,4.8,416,Palembang,,
Scarlett Whitening Acne Serum,148129,Scarlett Center,Shopee,4.7,3499,Ciamis,https://shopee.co.id/product/831054/353311280,DISKON 12%
Emina Bright Stuff Face Serum,Rp29.574,Toko Emina,Tokopedia,"4,9",1447,Palembang,https://tokopedia.com/official/product-151083-723676646,
Scarlett Whitening Acne Serum,Rp101.523,Scarlett Official Store,Shopee,,810,Jember,https://shopee.co.id/product/628167/660708373,Diskon 7%
Wardah Lightening Day Cream Advanced Niacinamide,Rp37.989,Wardah Official,Tokopedia,4.9,680,Tegal,https://tokopedia.com/shop/pr0duct-762571-693400378,Buy 1 Get 1
Scarlett Whitening Acne Serum,,Scarlett Official,Tokopedia,4.8,3556,Blitar,https://tokopedia.com/beauty/product-994154-277550435,
Whitelab Brightening Face Serum,167631,Whitelab Official Store,Shopee,4.6,1228,Medan,https://shopee.co.id/product/779620/319979583,
Citra Pearl Fair UV Face Cream,65983,Citra Official Store,Tokopedia,4.7,651,Yogyakarta,https://tokopedia.com/beauty/product-242071-30583026,Voucher 20K
Scarlett Whitening Acne Serum,120144,Scarlett Shop,Shopee,4.9,222,Malang,https://shopee.co.id/pr0duct/387915/251084243,Free Gift
Pond's Bright Beauty Triple Glow Serum,Rp282.078,Toko Pond's,Tokopedia,4.7,2690,Magelang,https://tokopedia.com/beauty/product-793820-660104984,BUY1 GET1
Emina Bright Stuff Face Serum,290192,Emina Beauty Store,Tokopedia,5,160,Bandung,https://tokopedia.com/official/product-597687-999528050,BUY1 GET1
Garnier Bright Complete Serum,273835,Toko Garnier,Shopee,4.7,1103,Depok,https://shopee.co.id/product/199807/278530395,
Garnier Bright Complete Serum,,Garnier Beauty Store,Shopee,4.7,759,Salatiga,https://shopee.co.id/product/630000/804084228,Diskon 5%
Scarlett Whitening Acne Serum,82678,Scarlett Official Store,Shopee,4.8,2372,Banjarmasin,https://shopee.co.id/product/703144/979042523,Diskon 7%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,215.089,Hada Labo Official Store,Tokopedia,4.8,127,Pontianak,https://tokopedia.com/official/product-184968-260911115,
Garnier Bright Complete Serum,240413,Garnier Official,Tokopedia,5,7363,Solo,https://tokopedia.com/shop/product-563681-541660730,
Skintific 5X Ceramide Barrier Repair Moisturizer,"84,131",Skintific Beauty Store,Shopee,4.8,165,Depok,,Voucher 20K
Skintific 5X Ceramide Barrier Repair Moisturizer,Rp206.058,Skintific Flagship,Tokopedia,4.7,3914,Metro,https://tokopedia.com/official/product-972312-593395506,
Wardah Lightening Day Cream Advanced Niacinamide,168758,Wardah Flagship,Shopee,4.7,5228,Pangkalan Bun,https://shopee.co.id/product/658204/373840830,
Wardah Lightening Day Cream Advanced Niacinamide,Rp47.595,Toko Wardah,Shopee,4.7,6946,Cilacap,https://shopee.co.id/product/987970/168645960,Cashback 5%
Emina Bright Stuff Face Serum,55176,Toko Emina,Shopee,4.7,3601,Tangerang,https://shopee.co.id/product/356569/453661472,
Olay Total Effects 7 in One Day Cream,298802,Olay Official,Tokopedia,,3007,Ciamis,https://tokopedia.com/shop/product-614947-286154020,Diskon 7%
Lacoco Dark Spot Essence,205955,Toko Lacoco,Shopee,4.8,2745,Blitar,,Diskon 8%
Scarlett Whitening Acne Serum,"237,621",Scarlett Shop,Tokopedia,4.9,2195,Sidoarjo,https://tokopedia.com/official/pr0duct-751444-983188140,
Avoskin Miraculous Refining Serum,250.99,Avoskin Beauty Store,Shopee,4.7,3604,Makassar,,
Emina Bright Stuff Face Serum,223.48,Emina Official Store,Shopee,4.7,924,Kendal,https://shopee.co.id/product/400782/934437691,Gratis Ongkir
Erha Acneact Serum,146438,Erha Shop,Shopee,5,7016,Blitar,https://shopee.co.id/product/512914/849940335,
Somethinc Niacinamide Moisture Sabi Beet Serum,266045,Toko Somethinc,Shopee,,645,Sidoarjo,https://shopee.co.id/product/204308/388417778,
Lacoco Dark Spot Essence,186513,Lacoco Official Store,Shopee,4.7,2023,Parepare,https://shopee.co.id/product/140583/710851704,
Azarine Hydramax C Sunscreen Serum,"65,165",Azarine Flagship,Tokopedia,"4,9",3823,Palembang,https://tokopedia.com/official/product-905928-943305178,Diskon 10%
Somethinc Niacinamide Moisture Sabi Beet Serum,Rp36.228,Toko Somethinc,Shopee,4.7,3715,Manado,https://shopee.co.id/product/268108/12787196,Diskon 20%
Skintific 5X Ceramide Barrier Repair Moisturizer,47392,Skintific Flagship,Tokopedia,4.7,861,Solo,https://tokopedia.com/shop/product-815878-966370171,Cashback 5%
Scarlett Whitening Acne Serum,129029,Scarlett Official,Shopee,4.6,1471,Padang,https://tokopedia.com/official/product-718930-655550709,
MS Glow Whitening Night Cream,227486,MS Glow Center,Tokopedia,"4,7",1395,Depok,https://tokopedia.com/shop/product-634590-646485236,diskon 15%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,150285,Hada Labo Flagship,Shopee,4.9,1121,Banjarmasin,https://shopee.co.id/product/585869/570699226,voucher 20k
Somethinc Niacinamide Moisture Sabi Beet Serum,32751,Somethinc Flagship,Shopee,4.7,268,Samarinda,https://shopee.co.id/product/362834/724032759,buy1 get1
Pond's Bright Beauty Triple Glow Serum,33092,Pond's Official,Tokopedia,4.7,1018,Ciamis,,Gratis Ongkir
Garnier Bright Complete Serum,1619269,Garnier Flagship,Tokopedia,"4,7",4833,Pontianak,https://tokopedia.com/shop/product-334344-291541995,Diskon 20%
NPURE Cica Beat The Sun SPF 50,284953,NPURE Flagship,Shopee,4.7,2883,Pasuruan,https://shopee.co.id/product/302595/436511641,Diskon 7%
Garnier Bright Complete Serum,Rp295.718,Garnier Shop,Shopee,4.8,1290,Metro,https://shopee.co.id/product/478978/425952221,Buy 1 Get 1
Somethinc Niacinamide Moisture Sabi Beet Serum,"163,098",Somethinc Official,Tokopedia,,4203,Sidoarjo,https://tokopedia.com/beauty/product-223706-611302054,Diskon 15%
Citra Pearl Fair UV Face Cream,50409,Citra Center,Shopee,4.6,3795,Malang,https://shopee.co.id/product/952068/854177450,buy1 get1
Some By Mi AHA BHA PHA 30 Days Miracle Serum,277054,Some By Mi Beauty Store,Tokopedia,5,4877,Blitar,https://tokopedia.com/official/product-763823-396448407,Voucher 20K
Erha Acneact Serum,86202,Erha Official Store,Shopee,4.6,4967,Palopo,https://shopee.co.id/product/965927/111219607,
Wardah Lightening Day Cream Advanced Niacinamide,4465828,Toko Wardah,Shopee,"4,6",3272,Pasuruan,https://shopee.co.id/product/481468/591978916,Diskon 7%
Emina Bright Stuff Face Serum,150895,Toko Emina,Tokopedia,4.7,4604,Solo,https://tokopedia.com/beauty/product-347541-586042857,
Garnier Bright Complete Serum,243974,Garnier Shop,Tokopedia,4.8,3692,Palopo,,
Citra Pearl Fair UV Face Cream,,Citra Center,Shopee,,1440,Pangkalan Bun,https://shopee.co.id/pr0duct/540218/390498457,Diskon 9%
The Originote Bakuchiol Skin Barrier Serum,141761,The Originote Official Store,Shopee,4.7,1338,Bogor,https://shopee.co.id/product/812489/570525609,Gratis Ongkir
Avoskin Miraculous Refining Serum,123354,Avoskin Official Store,Tokopedia,4.9,3380,Jakarta,https://tokopedia.com/official/product-314527-394960282,Diskon 15%
